,Brand,Processor,RAM (GB),Storage Type,Storage Size,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($),Price Category
0,Apple,AMD Ryzen 3,64,SSD,512.0,Nvidia GTX 1650,17.3,2560x1440,8.9,1.42,FreeDOS,3997.07,Luxury
1,Razer,AMD Ryzen 7,4,SSD,1024.0,Nvidia RTX 3080,14.0,1366x768,9.4,2.57,Linux,1355.78,Mid-End
2,Asus,Intel i5,32,SSD,2048.0,Nvidia RTX 3060,13.3,3840x2160,8.5,1.74,FreeDOS,2673.07,High-End
3,Lenovo,Intel i5,4,SSD,256.0,Nvidia RTX 3080,13.3,1366x768,10.5,3.1,Windows,751.17,Low-End
4,Razer,Intel i3,4,SSD,256.0,AMD Radeon RX 6600,16.0,3840x2160,5.7,3.38,Linux,2059.83,High-End
5,Acer,AMD Ryzen 3,64,SSD,2048.0,Nvidia RTX 3060,14.0,1366x768,7.1,1.85,Linux,1676.64,High-End
6,Dell,Intel i5,8,SSD,1024.0,Nvidia RTX 2060,15.6,2560x1440,9.1,1.98,Windows,1449.05,Mid-End
7,Microsoft,AMD Ryzen 9,8,SSD,1024.0,Nvidia RTX 3080,17.3,2560x1440,9.8,1.26,Linux,2193.55,High-End
8,Apple,Intel i5,64,SSD,256.0,Nvidia RTX 2060,15.6,3840x2160,11.5,1.48,Linux,6409.03,Luxury
9,HP,AMD Ryzen 5,4,SSD,1024.0,AMD Radeon RX 6800,14.0,3840x2160,7.5,2.19,FreeDOS,1556.72,High-End
10,Razer,Intel i9,8,SSD,256.0,Nvidia GTX 1650,16.0,1366x768,6.4,2.53,Windows,2044.38,High-End
11,Razer,Intel i5,32,HDD,1024.0,AMD Radeon RX 6800,16.0,1920x1080,8.3,1.21,Windows,2032.69,High-End
12,Lenovo,Intel i5,4,SSD,256.0,Nvidia RTX 2060,16.0,3840x2160,9.3,2.97,Windows,1770.05,High-End
13,Acer,AMD Ryzen 3,16,SSD,512.0,Integrated,15.6,1920x1080,10.9,2.02,Windows,629.96,Low-End
14,Samsung,Intel i3,32,SSD,256.0,Nvidia RTX 3060,15.6,2560x1440,11.8,2.95,macOS,1909.02,High-End
15,MSI,Intel i7,8,SSD,512.0,Integrated,13.3,1920x1080,7.8,3.34,macOS,982.19,Mid-End
16,Razer,AMD Ryzen 3,16,SSD,1024.0,Nvidia RTX 3080,17.3,3840x2160,11.6,3.11,macOS,2413.0,High-End
17,Microsoft,AMD Ryzen 9,4,SSD,2048.0,AMD Radeon RX 6800,17.3,1920x1080,8.3,1.48,Linux,1585.6,High-End
18,Razer,Intel i5,32,SSD,512.0,Nvidia GTX 1650,14.0,1920x1080,10.0,3.4,FreeDOS,2191.16,High-End
19,HP,AMD Ryzen 9,16,SSD,2048.0,Nvidia RTX 3060,16.0,1366x768,7.2,2.17,FreeDOS,1778.84,High-End
20,Dell,Intel i7,64,SSD,256.0,AMD Radeon RX 6600,17.3,1920x1080,6.4,2.48,FreeDOS,3311.34,Luxury
21,Acer,AMD Ryzen 7,16,SSD,1024.0,AMD Radeon RX 6600,15.6,1920x1080,11.4,3.05,Linux,1734.32,High-End
22,Dell,AMD Ryzen 3,8,HDD,1024.0,Nvidia GTX 1650,13.3,2560x1440,7.0,1.7,Linux,878.5,Mid-End
23,Dell,Intel i5,8,HDD,1024.0,Integrated,13.3,2560x1440,11.9,2.53,macOS,830.62,Mid-End
24,Apple,Intel i9,64,SSD,256.0,Integrated,17.3,1920x1080,6.9,2.55,Windows,4428.68,Luxury
25,HP,AMD Ryzen 7,8,SSD,512.0,Nvidia RTX 3060,14.0,2560x1440,4.4,1.6,macOS,1504.2,High-End
26,Asus,AMD Ryzen 9,64,SSD,512.0,AMD Radeon RX 6600,13.3,1920x1080,6.2,2.58,macOS,3907.83,Luxury
27,Microsoft,AMD Ryzen 9,8,SSD,1024.0,Integrated,13.3,1366x768,9.9,3.11,Windows,976.43,Mid-End
28,Microsoft,AMD Ryzen 5,64,SSD,512.0,AMD Radeon RX 6600,16.0,2560x1440,9.3,2.31,macOS,3286.11,Luxury
29,Dell,AMD Ryzen 3,4,SSD,1024.0,Nvidia GTX 1650,15.6,1366x768,5.4,1.95,Windows,831.69,Mid-End
30,Samsung,Intel i7,32,SSD,1024.0,AMD Radeon RX 6800,15.6,2560x1440,11.5,2.32,FreeDOS,2868.04,High-End
31,Lenovo,AMD Ryzen 9,32,SSD,1024.0,Nvidia RTX 3060,17.3,2560x1440,11.4,1.7,Linux,3584.25,Luxury
32,HP,Intel i3,64,SSD,512.0,AMD Radeon RX 6600,16.0,1366x768,4.9,1.99,Linux,1878.4,High-End
33,Dell,AMD Ryzen 5,32,SSD,2048.0,Nvidia GTX 1650,15.6,1920x1080,9.1,3.01,Windows,1834.21,High-End
34,MSI,Intel i3,64,SSD,1024.0,Nvidia RTX 2060,15.6,2560x1440,8.3,3.47,Linux,3390.88,Luxury
35,Acer,AMD Ryzen 5,8,SSD,512.0,AMD Radeon RX 6800,15.6,3840x2160,6.2,1.68,Linux,1923.02,High-End
36,Samsung,AMD Ryzen 9,32,SSD,2048.0,Nvidia RTX 3060,14.0,1920x1080,5.4,2.6,macOS,2601.32,High-End
